case_number,location,reported_date,month,year,offense_desc,statute_code,statute_desc,counts,reporting_officer
2019-00501585,51 SILVER SPRING ST,2019-09-27T13:17:07.0,9,2019,Larceny from Motor Vehicle,11-41-1,LARCENY/U $1500 - FROM MV,1,BMuldoon
2019-00501586,51 SILVER SPRING ST,2019-09-27T13:05:05.0,9,2019,Larceny from Motor Vehicle,11-41-1,LARCENY/U $1500 - FROM MV,1,BMuldoon
2019-00098050,MESSER ST & COWPER CT,2019-09-27T12:45:00.0,9,2019,Drug Offenses,21-28-4.01-C1A,POSSESSION OF SCHEDULE I II III,1,RBallinger
2019-00501587,200 CHARLES ST,2019-09-27T12:05:28.0,9,2019,RI Statute Violation,11-35-17,CRANK OR OBSCENE PHONE CALLS - ALL OTH OFFENSE,1,BMuldoon
2019-00501588,19 HARRISON ST,2019-09-27T11:53:33.0,9,2019,Larceny from Motor Vehicle,11-41-1,LARCENY/U $1500 - FROM MV,1,BMuldoon
2019-00501589,86 TABER AVE STREET ADD ,2019-09-27T11:41:33.0,9,2019,Vandalism,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,1,BMuldoon
2019-00501590,BLACKSTONE BOULEVARD ,2019-09-27T08:34:30.0,9,2019,Larceny from Motor Vehicle,11-41-1,LARCENY/U $1500 - FROM MV,1,BMuldoon
2019-00097961,60 KING ST,2019-09-27T08:30:37.0,9,2019,"Assault, Threats",11-35-18,BOMB THREATS AND SIMILAR FALSE REPORTS,1,LAndreozzi
2019-00501591,1 PIKE ST ,2019-09-27T07:18:20.0,9,2019,Larceny from Motor Vehicle,11-41-1,LARCENY/U $1500 - FROM MV,1,BMuldoon
2019-00501592,N  MAIN ST & CADY ST,2019-09-26T23:12:48.0,9,2019,Larceny from Motor Vehicle,11-41-1,LARCENY/U $1500 - FROM MV,1,BMuldoon
2019-00501593,PIKE ST ,2019-09-26T22:43:31.0,9,2019,Larceny from Motor Vehicle,11-41-1,LARCENY/U $1500 - FROM MV,1,BMuldoon
2019-00097725,CHALKSTONE AVE & OAKLAND AVE,2019-09-26T16:59:00.0,9,2019,"Larceny, Other",11-41-1,LARCENY/U $1500 - ALL OTH LARCENY,1,Central Station
2019-00501549,TOCKWOTTON ST & S WATER ST,2019-09-26T12:50:19.0,9,2019,Larceny from Motor Vehicle,11-41-1,LARCENY/U $1500 - FROM MV,1,AGroot
2019-00097592,442 PINE ST,2019-09-26T10:43:00.0,9,2019,"Assault, Simple",11-5-3,SIMPLE ASSAULT/BATTERY,1,PSalmons
2019-00501547,BLACKSTONE BLVD & ROCHAMBEAU AVE,2019-09-25T23:25:00.0,9,2019,Larceny from Motor Vehicle,11-41-1,LARCENY/U $1500 - FROM MV,1,AGroot
2019-00097272,DEXTER  &  ALTHEA ,2019-09-25T13:48:00.0,9,2019,Robbery,11-39-1,ROBBERY-2ND DEGREE,1,ECraven
2019-00097251,188 PRINCETON AVE,2019-09-25T12:56:00.0,9,2019,"Assault, Simple",11-5-3,SIMPLE ASSAULT OR BATTERY,1,NMorales
2019-00097210,250 NIANTIC AVE,2019-09-25T10:50:00.0,9,2019,"Larceny, Other",11-41-1,LARCENY/U $1500 - ALL OTH LARCENY,1,Central Station
2019-00501542,8 ABBOTT PARK PL,2019-09-25T10:40:58.0,9,2019,"Larceny, Other",11-41-1,LARCENY/U $1500 - ALL OTH LARCENY,1,AGroot
2019-00097132,515 UNION AVE,2019-09-25T03:04:00.0,9,2019,"Assault, Aggravated",11-5-2.3,ASSAULT BY STRANGULATION 12-29-5,1,CClift
2019-00501539,DORRANCE ST & PINE ST,2019-09-24T19:39:28.0,9,2019,Larceny from Motor Vehicle,11-41-1,LARCENY/U $1500 - FROM MV,1,AGroot
2019-00096946,1 W EXCHANGE ST,2019-09-24T17:29:00.0,9,2019,"Larceny, Other",11-41-1,LARCENY/O $1500 - ALL OTH LARCENY,1,SIm
2019-00096756,211 CONGRESS AVE,2019-09-24T10:08:00.0,9,2019,Request for Assistance,Not Used,No violations,0,Central Station
2019-00096649,DEPASQUALE AVE & ATWELLS AVE,2019-09-24T00:31:00.0,9,2019,Larceny from Motor Vehicle,11-41-1,LARCENY/O $1500 - FROM MV,1,SHerr
2019-00096555,SWAN ST & DEVINE ST,2019-09-23T19:31:33.0,9,2019,Larceny from Motor Vehicle,11-41-1,LARCENY/O $1500 - FROM MV,1,SSage
2019-00501530,101 SESSIONS ST,2019-09-23T17:09:26.0,9,2019,"Larceny, Other",11-41-1,LARCENY/U $1500 - ALL OTH LARCENY,1,MTroia
2019-00096409,AGNES ST & DIKE ST,2019-09-23T13:48:00.0,9,2019,Larceny from Motor Vehicle,11-41-1,LARCENY/U $1500 - FROM MV,1,Central Station
2019-00501515,9 CHAPIN AVE,2019-09-23T08:33:28.0,9,2019,Larceny from Motor Vehicle,11-41-1,LARCENY/U $1500 - FROM MV,1,RPapa
2019-00103903,N  MAIN ST & CHURCH ST,2019-10-12T04:03:00.0,10,2019,Traffic Violation,31-3-1,Parking or MV Violation,1,JLugo
2019-00103903,N  MAIN ST & CHURCH ST,2019-10-12T04:03:00.0,10,2019,Traffic Violation,31-47-9,Parking or MV Violation,1,JLugo
2019-00103903,N  MAIN ST & CHURCH ST,2019-10-12T04:03:00.0,10,2019,Traffic Violation,31-11-18.1,Parking or MV Violation,1,JLugo
2019-00103851,DONELSON ST & DOUGLAS AVE,2019-10-12T00:57:00.0,10,2019,"Assault, Aggravated",11-5-2.1,FELONY ASSAULT/USE DEVICE SIMILAR TO FIREARM,1,CBeach
2019-00103843,137 PEMBROKE AVE,2019-10-12T00:19:00.0,10,2019,Municipal Code Violation,Sec. 16-93.  ,"Noise Control - Radios, television sets, and similar devices.",1,SMarmas
2019-00103842,84 HERSCHEL ST,2019-10-12T00:18:00.0,10,2019,Municipal Code Violation,Sec. 16-3.A,Disorderly and indecent conduct A - Theatening,1,Central Station
2019-00103841,24 TAPPAN ST,2019-10-12T00:13:00.0,10,2019,Missing Persons,Not Used,No violations,0,Central Station
2019-00103844,8 CUTLER ST,2019-10-12T00:11:00.0,10,2019,Auto Towed,Not Used,Parking or MV Violation,0,DDiaz
2019-00103893,969 BROAD ST ,2019-10-12T00:05:00.0,10,2019,RI Statute Violation,12-7-10,RESISTING LEGAL OR ILLEGAL ARREST,1,BMcKenna
2019-00103893,969 BROAD ST ,2019-10-12T00:05:00.0,10,2019,Disorderly Conduct,11-45-1,DISORDERLY CONDUCT,1,BMcKenna
2019-00103834,5 OF THE ARTS ,2019-10-11T23:57:00.0,10,2019,"Larceny, Other",11-41-1,LARCENY/U $1500 - ALL OTH LARCENY,1,SFernandez
2019-00103832,1266 BROAD ST,2019-10-11T23:55:00.0,10,2019,Traffic Violation,31-22-21.1,Presence of Alcoholic Beverage While Operating or Riding in Motor Vehicle,1,JGagnon
2019-00103823,SOMERSET ST & PINE ST ,2019-10-11T23:39:00.0,10,2019,Disorderly Conduct,11-45-1,DISORDERLY CONDUCT,1,KEndres
2019-00103812,59 ROSLYN AVE,2019-10-11T23:04:00.0,10,2019,Larceny from Motor Vehicle,11-41-1,LARCENY/U $1500 - FROM MV,1,AWagoner
2019-00103797,244 WASHINGTON AVE,2019-10-11T22:12:00.0,10,2019,Missing Persons,Not Used,No violations,0,Central Station
2019-00103795,244 WASHINGTON AVE,2019-10-11T22:11:00.0,10,2019,Missing Persons,Not Used,No violations,0,Central Station
2019-00103794,244 WASHINGTON AVE,2019-10-11T22:09:00.0,10,2019,Missing Persons,Not Used,No violations,0,Central Station
2019-00103782,516 PRAIRIE AVE,2019-10-11T21:37:00.0,10,2019,"Assault, Aggravated",11-5-2.1,FELONY ASSAULT/USE DEVICE SIMILAR TO FIREARM,1,ASchneider
2019-00103779,VALLEY ST & DELAINE ST,2019-10-11T21:32:00.0,10,2019,"Assault, Simple",11-5-3,SIMPLE ASSAULT OR BATTERY,2,MPlace
2019-00103775,80 DEAN ST,2019-10-11T21:27:00.0,10,2019,Larceny from Motor Vehicle,11-41-1,LARCENY/U $1500 - FROM MV,1,KDoldoorian
2019-00103769,GANO ST & WICKENDEN ST,2019-10-11T21:04:00.0,10,2019,Warrant\Capias,BWARRANT-6D,BENCH WARRANT ISSUED FROM 6TH DISTRICT COURT,1,TCalandra
2019-00103765,351 ATWELLS AVE,2019-10-11T20:51:00.0,10,2019,Larceny from Motor Vehicle,11-41-1,LARCENY/O $1500 - FROM MV,1,JPacheco
2019-00103755,136 KNIGHT ST,2019-10-11T20:06:00.0,10,2019,Missing Persons,Not Used,No violations,0,Central Station
2019-00103749,333 W  RIVER ST,2019-10-11T19:30:00.0,10,2019,"Larceny, Shoplifting",11-41-20,SHOPLIFTING-MISD - SHOPLIFTING,1,SMarmas
2019-00103744,HUNTINGTON AVE & CRANSTON ST,2019-10-11T19:16:00.0,10,2019,Warrant\Capias,BWARRANT-SC,BENCH WARRANT ISSUED FROM SUPERIOR COURT,1,JGagnon
2019-00103725,850 MANTON AVE,2019-10-11T18:00:00.0,10,2019,"Larceny, Shoplifting",11-41-20.1,SHOPLIFTING-IMPLEMENTS OF CONCEALMENT - SHOPLIFTING,1,DHernandez
2019-00103718,32 TUXEDO AVE,2019-10-11T17:45:00.0,10,2019,Request for Assistance,Not Used,No violations,0,Central Station
2019-00103709,136 KNIGHT ST,2019-10-11T17:34:00.0,10,2019,Missing Persons,Not Used,No violations,0,Central Station
2019-00103708,380 HOPE ST,2019-10-11T17:31:00.0,10,2019,Missing Persons,Not Used,No violations,0,Central Station
2019-00103707,CRANSTON & HANOVER ,2019-10-11T17:25:00.0,10,2019,Warrant\Capias,BWARRANT-SC,BENCH WARRANT ISSUED FROM SUPERIOR COURT,1,JGagnon
2019-00103702,612 ACADEMY AVE,2019-10-11T17:16:00.0,10,2019,Vandalism,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,1,Central Station
2019-00103703,EDDY ST & DUDLEY ST,2019-10-11T17:09:00.0,10,2019,"Assault, Simple",11-5-3,SIMPLE ASSAULT OR BATTERY,1,LBoror
2019-00103698,105 MITCHELL ST,2019-10-11T17:05:00.0,10,2019,Juvenile Matter,Not Used,No violations,0,PHourahan
2019-00103687,4 RICHMOND SQ,2019-10-11T16:40:00.0,10,2019,Larceny from Motor Vehicle,11-41-1,LARCENY/U $1500 - FROM MV,1,ACalle
2019-00103687,4 RICHMOND SQ,2019-10-11T16:40:00.0,10,2019,Vandalism,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,1,ACalle
2019-00103683,1215 N  MAIN ST,2019-10-11T16:31:25.0,10,2019,Disturbance,Not Used,No violations,0,MGammino
2019-00103684,637 SMITH ST,2019-10-11T16:29:00.0,10,2019,Burglary,11-8-2,B&E DWELLING HOUSE W/O CONSENT,1,EBreault
2019-00103680,333 W  RIVER ST,2019-10-11T16:23:00.0,10,2019,"Larceny, Shoplifting",11-41-20,SHOPLIFTING-MISD - SHOPLIFTING,1,SMarmas
2019-00103659,138 KNIGHT ST,2019-10-11T15:43:00.0,10,2019,Missing Persons,Not Used,No violations,0,Central Station
2019-00103652,27 RUGBY ST ,2019-10-11T15:24:00.0,10,2019,Juvenile Matter,Not Used,No violations,0,ASchneider
2019-00103647,182 THURBERS AVE,2019-10-11T15:18:00.0,10,2019,Juvenile Matter,Not Used,No violations,0,ASchneider
2019-00103633,169 REGENT AVE,2019-10-11T14:44:00.0,10,2019,"Larceny, Other",11-41-1,LARCENY/U $1500 - ALL OTH LARCENY,1,Central Station
2019-00103631,101 CEDAR ST,2019-10-11T14:26:00.0,10,2019,Disorderly Conduct,11-45-1,DISORDERLY CONDUCT,1,Central Station
2019-00103630,17 ERASTUS ST,2019-10-11T14:16:00.0,10,2019,RI Statute Violation,15-15-3,VIOLATION OF PROTECTIVE ORDER,1,JRodrigues
2019-00103628,29 HERSCHEL ST,2019-10-11T14:12:21.0,10,2019,Disturbance,Not Used,No violations,0,AElie
2019-00103626,107 CHAD BROWN ST,2019-10-11T14:00:00.0,10,2019,Vandalism,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,1,SPerez
2019-00103607,627 CRANSTON ST,2019-10-11T13:15:00.0,10,2019,RI Statute Violation,11-37.1-3,SEXUAL OFFENDER REGISTRATION REQUIRED,1,TRudd
2019-00103603,BROOK ST & JOHN ST,2019-10-11T12:56:00.0,10,2019,Traffic Violation,31-11-18,"Driving after Denial, Suspension or Revocation of License",1,JAnnis
2019-00103602,141 PITMAN ST,2019-10-11T12:41:00.0,10,2019,"Fraud, Swindle",11-17-3,PASSING OF COUNTERFEIT CERT//BILLS/NOTES,1,PCaminero
2019-00103597,SUMMER ST & HAYWARD ST ,2019-10-11T12:23:00.0,10,2019,Traffic Violation,31-11-18,"Driving after Denial, Suspension or Revocation of License",1,KDemarco
2019-00103598,213 UNION AVE,2019-10-11T12:22:00.0,10,2019,Medical Aid,Not Used,No violations,0,JAndrade
2019-00103575,71 SANDRINGHAM AVE,2019-10-11T11:02:00.0,10,2019,Larceny from Motor Vehicle,11-41-1,LARCENY/O $1500 - FROM MV,1,DHernandez
2019-00103572,324 HOPE ST,2019-10-11T10:52:00.0,10,2019,"Assault, Simple",11-5-3,SIMPLE ASSAULT OR BATTERY,1,KWilliams
2019-00103550,295 ACADEMY AVE,2019-10-11T09:49:00.0,10,2019,"Fraud, Swindle",11-49.1-3,IDENTITY FRAUD - FALSE PRETENSE,1,Central Station
2019-00103549,343 BROAD ST,2019-10-11T09:40:06.0,10,2019,"Assault, Simple",11-5-3,SIMPLE ASSAULT OR BATTERY,1,LFernandez
2019-00103534,50 FILLMORE ST,2019-10-11T08:13:00.0,10,2019,Vandalism,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,1,CRodriguez
2019-00103519,338 LAUREL HILL AVE,2019-10-11T07:22:00.0,10,2019,Larceny from Motor Vehicle,11-41-1,LARCENY/U $1500 - FROM MV,1,ITavarez
2019-00103493,VALLEY ST & ATWELLS AVE,2019-10-11T03:56:00.0,10,2019,Weapons,11-47-42,WEAPONS OTHER THAN FIREARMS PROHIBITED,1,DAnderson
2019-00103486,325 WASHINGTON ST,2019-10-11T03:03:00.0,10,2019,Article Found,Not Used,No violations,0,Central Station
2019-00103481,ORMS ST & DUKE ST,2019-10-11T02:19:00.0,10,2019,Drug Offenses,21-28-4.01-C2-(iii),POSSESSION OF MARIJUANA 1OZ OR LESS OVER 18 YEARS OF AGE,1,RBallinger
2019-00103481,ORMS ST & DUKE ST,2019-10-11T02:19:00.0,10,2019,RI Statute Violation,12-9-16,WARRANT OF ARREST ON AFFIDAVIT - ALL OTH OFFENSE,1,RBallinger
2019-00103471,389 ELMWOOD AVE,2019-10-11T01:33:00.0,10,2019,"Assault, Simple",11-5-3,SIMPLE ASSAULT/BATTERY,1,JManown
2019-00103467,POE ST & OCONNELL ST,2019-10-11T01:17:00.0,10,2019,Larceny from Motor Vehicle,11-41-1,LARCENY/O $1500 - FROM MV,1,NColicci
2019-00103466,POTTERS AVE & BUCKLIN ST,2019-10-11T01:12:00.0,10,2019,DUI,31-27-2,Driving Under the Influence of Liqour or Drugs (=>.08<.1),1,RGaudiana
2019-00103459,PUBLIC ST & MILK ST,2019-10-11T01:02:00.0,10,2019,Traffic Violation,31-47-9,Operating a MV without Evidence of Insurance,1,WGeorges
2019-00103459,PUBLIC ST & MILK ST,2019-10-11T01:02:00.0,10,2019,Traffic Violation,31-3-18,Display of Plates Penalties,1,WGeorges
2019-00103459,PUBLIC ST & MILK ST,2019-10-11T01:02:00.0,10,2019,Traffic Violation,31-8-2,Operation of MV When Registration Canceled,1,WGeorges
2019-00103429,28 HARTFORD AVE,2019-10-11T00:00:00.0,10,2019,Suspicious Person,Not Used,No violations,0,ASantos
2019-00103426,247 WADSWORTH ST,2019-10-10T23:57:00.0,10,2019,Burglary,11-8-1.1,ATTEMPTED BREAKING AND ENTERING,1,JManown
2019-00103421,138 KNIGHT ST,2019-10-10T23:47:00.0,10,2019,Missing Persons,Not Used,No violations,0,Central Station
2019-00103408,59 FAIRMOUNT AVE,2019-10-10T23:19:00.0,10,2019,Traffic Violation,31-8-2,Operation of MV When Registration Canceled,1,DSepe
2019-00103408,59 FAIRMOUNT AVE,2019-10-10T23:19:00.0,10,2019,Traffic Violation,31-47-9,Operating a MV without Evidence of Insurance,1,DSepe
2019-00103408,59 FAIRMOUNT AVE,2019-10-10T23:19:00.0,10,2019,Traffic Violation,31-11-18,"Driving after Denial, Suspension or Revocation of License",1,DSepe
2019-00103411,273 PRAIRIE AVE,2019-10-10T23:18:00.0,10,2019,Vandalism,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,1,NColicci
2019-00103405,60 VALLEY ST,2019-10-10T22:36:00.0,10,2019,Larceny from Motor Vehicle,11-41-1,LARCENY/U $1500 - FROM MV,1,DAnderson
2019-00103405,60 VALLEY ST,2019-10-10T22:36:00.0,10,2019,Vandalism,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,1,DAnderson
2019-00103396,465 ELMWOOD AVE,2019-10-10T22:13:00.0,10,2019,"Assault, Simple",11-5-3,SIMPLE ASSAULT/BATTERY,1,JButen
2019-00103398,11 JILLSON ST,2019-10-10T22:13:00.0,10,2019,Juvenile Matter,Not Used,No violations,0,MPlace
2019-00103394,90 FILLMORE ST,2019-10-10T22:08:00.0,10,2019,Vandalism,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,1,LMarroquin
2019-00103385,24 TAPPAN ST,2019-10-10T21:38:00.0,10,2019,Missing Persons,Not Used,No violations,0,Central Station
2019-00103384,770 ADMIRAL ST,2019-10-10T21:29:00.0,10,2019,Vandalism,11-44-1,VANDALISM/MALICIOUS INJURY TO PROP,1,DImpagliazzo
2019-00103374,150 NIANTIC AVE,2019-10-10T20:55:00.0,10,2019,Larceny from Building,11-41-1,LARCENY/U $1500 - FROM BLD,1,JButen
2019-00103359,24 TAPPAN ST,2019-10-10T19:49:00.0,10,2019,Missing Persons,Not Used,No violations,0,Central Station
2019-00103348,70 WOONASQUATUCKET AVE,2019-10-10T19:23:00.0,10,2019,"Assault, Simple",11-5-3,SIMPLE ASSAULT/BATTERY,1,CCastagliuolo
2019-00103341,35 MYRA ST,2019-10-10T18:57:00.0,10,2019,RI Statute Violation,12-29-4,VIOLATION -NO CONTACT ORDER,1,BMcKenna
2019-00103324,53 FARRAGUT AVE,2019-10-10T17:47:55.0,10,2019,Vandalism,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,1,JCotugno
2019-00103321,136 KNIGHT ST,2019-10-10T17:39:00.0,10,2019,Missing Persons,Not Used,No violations,0,Central Station
2019-00103323,387 CHARLES ST,2019-10-10T17:29:00.0,10,2019,"Larceny, Other",11-41-1,LARCENY/U $1500 - ALL OTH LARCENY,1,SMarmas
2019-00103309,178 WALLACE ST,2019-10-10T17:07:16.0,10,2019,"Fraud, Swindle",11-49.1-3,IDENTITY FRAUD - FALSE PRETENSE,1,JDeschamps
2019-00103306,211 CONGRESS AVE,2019-10-10T16:55:00.0,10,2019,Violation of Restraining Order,Not Used,No violations,0,JStanzione
2019-00103287,31 GREELEY ST,2019-10-10T16:11:00.0,10,2019,"Assault, Simple",11-5-3,SIMPLE ASSAULT/BATTERY,1,SMarmas
2019-00103287,31 GREELEY ST,2019-10-10T16:11:00.0,10,2019,Vandalism,11-44-1,VANDALISM/MALICIOUS INJURY TO PROP,1,SMarmas
2019-00103283,RIVER AVE & WHITFORD AVE,2019-10-10T16:07:00.0,10,2019,Traffic Violation,31-3-1,Operation of Unregistered Vehicle,1,HNorthup
2019-00103283,RIVER AVE & WHITFORD AVE,2019-10-10T16:07:00.0,10,2019,Traffic Violation,31-11-18.1,"Driving after Denial, Revocation or Suspension for Misd.",1,HNorthup
2019-00103283,RIVER AVE & WHITFORD AVE,2019-10-10T16:07:00.0,10,2019,Traffic Violation,31-47-9,Operating a MV without Evidence of Insurance,1,HNorthup
2019-00103283,RIVER AVE & WHITFORD AVE,2019-10-10T16:07:00.0,10,2019,Traffic Violation,31-20-9,Obedience to Stop Sign,1,HNorthup
2019-00103295,223 ALLENS AVE,2019-10-10T16:02:00.0,10,2019,Motor Vehicle Theft,11-41-1,LARCENY/O $1500 - AUTO THE,1,AFrancis
2019-00103274,101 HILLSIDE AVE,2019-10-10T15:33:16.0,10,2019,Article Found,Not Used,No violations,0,MGammino
2019-00103264,233 BAKER ST,2019-10-10T15:09:00.0,10,2019,Larceny from Building,11-41-1,LARCENY/U $1500 - FROM BLD,1,Central Station
2019-00103260,160 BROAD ST,2019-10-10T15:02:00.0,10,2019,Warrant\Capias,BWARRANT-SC,BENCH WARRANT ISSUED FROM SUPERIOR COURT,1,AFrancis
2019-00103260,160 BROAD ST,2019-10-10T15:02:00.0,10,2019,"Assault, Simple",11-5-3,SIMPLE ASSAULT OR BATTERY,2,AFrancis
2019-00103258,72 OCEAN ST,2019-10-10T14:51:00.0,10,2019,"Assault, Simple",11-5-3,SIMPLE ASSAULT/BATTERY,1,JBenros
2019-00103246,1108 WESTMINSTER ST,2019-10-10T14:01:00.0,10,2019,"Larceny, Other",11-41-1,LARCENY/O $1500 - ALL OTH LARCENY,1,LFernandez
2019-00103239,91 W  CLIFFORD ST,2019-10-10T13:35:00.0,10,2019,Disorderly Conduct,11-45-1,DISORDERLY CONDUCT,1,Central Station
2019-00103238,126 BELLEVUE AVE,2019-10-10T13:34:00.0,10,2019,"Fraud, Swindle",11-49.1-3,IDENTITY FRAUD - FALSE PRETENSE,1,Central Station
2019-00103234,10 EAGLE ST,2019-10-10T13:14:54.0,10,2019,Disturbance,Not Used,No violations,0,AElie
2019-00103226,1 PROVIDENCE PL,2019-10-10T13:00:00.0,10,2019,Lost Article,Not Used,No violations,0,Central Station
2019-00103211,160 SUPERIOR ST,2019-10-10T11:59:00.0,10,2019,Drug Offenses,21-28-4.01-C1A,POSSESSION OF SCHEDULE I II III,1,NO'Malley
2019-00103211,160 SUPERIOR ST,2019-10-10T11:59:00.0,10,2019,Drug Offenses,21-28-4.01-A2A,MANUFAC/POSS/DELIVER SCH 1/II,1,NO'Malley
2019-00103206,556 ATWELLS AVE,2019-10-10T11:33:49.0,10,2019,Medical Aid,Not Used,No violations,0,LAndreozzi
2019-00103208,38 RUGGLES ST,2019-10-10T11:30:00.0,10,2019,Traffic Violation,31-27-2.7,Driving While Impaired,1,LRamalho
2019-00103196,1481 BROAD ST,2019-10-10T11:02:00.0,10,2019,Lost Article,Not Used,No violations,0,Central Station
2019-00103189,276 MT PLEASANT AVE,2019-10-10T10:26:00.0,10,2019,Larceny from Motor Vehicle,11-41-1,LARCENY/U $1500 - FROM MV,1,JO
2019-00103176,1 CHESTNUT ST,2019-10-10T09:36:00.0,10,2019,"Family Offenses, nonviolent",11-35-17,CRANK OR OBSCENE PHONE CALLS - DOMESTI,1,MRudolph
2019-00103179,191 WEBSTER AVE,2019-10-10T09:19:26.0,10,2019,Juvenile Matter,Not Used,No violations,0,JDalton
2019-00103156,29 BLAINE ST,2019-10-10T08:39:00.0,10,2019,"Assault, Simple",11-5-3,SIMPLE ASSAULT/BATTERY,1,JGutierrez
2019-00103153,121 ALEPPO ST,2019-10-10T08:26:44.0,10,2019,Motor Vehicle Theft,11-41-1,LARCENY/U $1500 - AUTO THEFT,1,LAndreozzi
2019-00103152,51 SILVER SPRING ST,2019-10-10T08:21:00.0,10,2019,Lost Article,Not Used,No violations,0,Central Station
2019-00103149,55 DURHAM ST,2019-10-10T08:06:10.0,10,2019,Larceny from Motor Vehicle,11-41-1,LARCENY/U $1500 - FROM MV,1,JMadeira
2019-00103148,135 HOME AVE,2019-10-10T08:03:50.0,10,2019,Larceny from Motor Vehicle,11-41-1,LARCENY/U $1500 - FROM MV,1,JKane
2019-00103143,75 LABAN ST,2019-10-10T07:44:00.0,10,2019,Auto Towed,Not Used,Parking or MV Violation,0,JAndrade
2019-00103141,492 BROADWAY ,2019-10-10T07:35:01.0,10,2019,Vandalism,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,1,LFernandez
2019-00103129,24 TAPPAN ST,2019-10-10T06:04:00.0,10,2019,Missing Persons,Not Used,No violations,0,Central Station
2019-00103111,ELMWOOD AVE & SACKETT ST,2019-10-10T03:22:00.0,10,2019,Drug Offenses,21-28-4.01-C2-(iii),POSSESSION OF MARIJUANA 1OZ OR LESS OVER 18 YEARS OF AGE,1,KRosado
2019-00103109,GROTTO AVE & LORING AVE,2019-10-10T03:13:00.0,10,2019,Traffic Violation,31-3-1,Parking or MV Violation,1,JJohnson
2019-00103108,UNION AVE & MESSER ST,2019-10-10T02:59:00.0,10,2019,Robbery,11-39-1,ROBBERY-1ST DEGREE,1,RFedo
2019-00103101,LOCKWOOD ST & PROVIDENCE ST,2019-10-10T02:40:00.0,10,2019,Drug Offenses,21-28-4.01-C1A,POSSESSION OF SCHEDULE I II III,1,BMcParlin
2019-00103088,UNION AVE & ALTHEA ST,2019-10-10T01:27:00.0,10,2019,Accident,Not Used,No violations,0,Central Station
2019-00103087,1 SABIN ST,2019-10-10T01:24:00.0,10,2019,Robbery,11-39-1,ROBBERY-1ST DEGREE,1,JLeroux
2019-00103070,41 FORD ST,2019-10-10T00:15:00.0,10,2019,Drug Offenses,21-28-4.01-C1A,POSSESSION OF SCHEDULE I II III,1,RFedo
2019-00103063,117 WASHINGTON AVE,2019-10-09T23:56:00.0,10,2019,Vandalism,11-44-1,VANDALISM/MALICIOUS INJURY TO PROP,1,WGeorges
2019-00103060,251 SMITH ST,2019-10-09T23:32:00.0,10,2019,Drug Offenses,21-28-4.01-C1A,POSSESSION OF SCHEDULE I II III,1,RBallinger
2019-00103060,251 SMITH ST,2019-10-09T23:32:00.0,10,2019,Burglary,11-8-4,B&E BUS.PLACE PUBLIC BLDG  OR SHIP W/FEL. INTENT,1,RBallinger
2019-00103054,64 DARTMOUTH AVE,2019-10-09T23:14:00.0,10,2019,Missing Persons,Not Used,No violations,0,Central Station
2019-00103053,533 ELMWOOD AVE,2019-10-09T23:06:00.0,10,2019,Vandalism,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,1,EEspinal
2019-00103047,244 WASHINGTON AVE,2019-10-09T22:46:00.0,10,2019,Missing Persons,Not Used,No violations,0,Central Station
2019-00103040,164 MASSACHUSETTS AVE,2019-10-09T22:12:00.0,10,2019,Missing Persons,Not Used,No violations,0,Central Station
2019-00103037,471 W  FOUNTAIN ST,2019-10-09T22:01:00.0,10,2019,Larceny from Motor Vehicle,11-41-1,LARCENY/O $1500 - FROM MV,1,JPacheco
2019-00103028,59 JOSLIN ST,2019-10-09T21:20:00.0,10,2019,Vandalism,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,1,MPlace
2019-00103009,2 OLMSTEAD WAY,2019-10-09T19:53:00.0,10,2019,"Assault, Simple",11-5-3,SIMPLE ASSAULT/BATTERY,1,TManzotti
2019-00103008,252 THAYER ST,2019-10-09T19:51:59.0,10,2019,"Fraud, Swindle",19-9-29,BANK FRAUD,1,VPazzetta
2019-00103005,ANGELL ST & BROWN ST,2019-10-09T19:37:51.0,10,2019,Larceny from Motor Vehicle,11-41-1,LARCENY/O $1500 - FROM MV,1,GValletta
2019-00103001,POTTERS AVE & VINEYARD ST,2019-10-09T19:32:00.0,10,2019,Weapons,11-47-8-A,LICENSE OR PERMIT REQUIRED FOR CARRYING PISTOL,1,VLopez
2019-00102987,115 GALLATIN ST,2019-10-09T18:51:00.0,10,2019,"Assault, Simple",11-5-3,SIMPLE ASSAULT/BATTERY,1,ALevesque
2019-00102971,123 WEBSTER AVE,2019-10-09T18:16:00.0,10,2019,Disorderly Conduct,11-45-1,DISORDERLY CONDUCT,1,Central Station
